Names	total	elements
		Niben261Chr18g0487008.1
22h_Down 25h_Down 34h_Down 40h_Down 46h_Down 56h_Down	2	Niben261Chr01g0411002.1
		Niben261Chr14g0597016.1
22h_Down 25h_Down 34h_Down 40h_Down 46h_Down 96h_Down	1	Niben261Chr14g1362021.1
22h_Down 28h_Down 34h_Down 37h_Down 40h_Down 56h_Down	1	Niben261Chr03g1073014.1
22h_Down 28h_Down 34h_Down 37h_Down 40h_Down 96h_Down	2	Niben261Chr08g0391003.1
		Niben261Chr01g1155006.1
22h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	2	Niben261Chr09g0857002.1
		Niben261Chr15g1436013.1
25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 46h_Down	10	Niben261Chr01g0877001.1
		Niben261Chr05g1113011.1
		Niben261Chr15g0535001.1
		Niben261Chr04g1539003.1
		Niben261Chr09g0308012.1
		Niben261Chr18g0085011.1
		Niben261Chr12g0913008.1
		Niben261Chr12g1569021.1
		Niben261Chr07g1203006.1
		Niben261Chr15g0589001.1
25h_Down 28h_Down 34h_Down 37h_Down 40h_Down 56h_Down	1	Niben261Chr09g1375014.1
25h_Down 28h_Down 34h_Down 37h_Down 46h_Down 56h_Down	1	Niben261Chr07g0376006.1
25h_Down 28h_Down 34h_Down 40h_Down 46h_Down 56h_Down	6	Niben261Chr14g0544011.1
		Niben261Chr06g1366002.1
		Niben261Chr12g0388001.1
		Niben261Chr10g1030002.1
		Niben261Chr09g1124001.1
		Niben261Chr03g1202001.1
25h_Down 28h_Down 37h_Down 40h_Down 46h_Down 56h_Down	4	Niben261Chr19g0919003.1
		Niben261Chr10g0661001.1
		Niben261Chr18g1249005.1
		Niben261Chr02g1513002.1
25h_Down 28h_Down 40h_Down 46h_Down 56h_Down 96h_Down	1	Niben261Chr04g0300009.1
25h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	7	Niben261Chr03g1183011.1
		Niben261Chr10g0410017.1
		Niben261Chr08g1361002.1
		Niben261Chr19g1158012.1
		Niben261Chr04g1894003.1
		Niben261Chr11g1326020.1
		Niben261Chr09g0140003.1
25h_Down 34h_Down 40h_Down 46h_Down 56h_Down 96h_Down	1	Niben261Chr01g0342005.1
28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	36	Niben261Chr09g0721003.1
		Niben261Chr06g0990010.1
		Niben261Chr06g0267016.1
		Niben261Chr03g1329003.1
		Niben261Chr15g1380016.1
		Niben261Chr04g0210001.1
		Niben261Chr05g1061014.1
		Niben261Chr12g0785023.1
		Niben261Scf01681g0000003.1
		Niben261Chr19g1478009.1
		Niben261Chr09g0721008.1
		Niben261Chr19g0927009.1
		Niben261Chr19g1462002.1
		Niben261Chr09g1093015.1
		Niben261Chr18g0122003.1
		Niben261Chr08g0634013.1
		Niben261Chr02g1002004.1
		Niben261Chr16g0906014.1
		Niben261Chr11g0201021.1
		Niben261Chr16g1429012.1
		Niben261Chr17g0634005.1
		Niben261Chr09g1015006.1
		Niben261Chr07g1465002.1
		Niben261Chr19g0265003.1
		Niben261Chr14g0808008.1
		Niben261Chr03g0390004.1
		Niben261Chr07g0366006.1
		Niben261Chr02g0809005.1
		Niben261Chr03g1204001.1
		Niben261Chr19g0648010.1
		Niben261Chr06g0805006.1
		Niben261Chr13g0357002.1
		Niben261Chr05g0168014.1
		Niben261Chr02g0283023.1
		Niben261Chr02g0314006.1
		Niben261Chr13g0211018.1
28h_Down 34h_Down 37h_Down 40h_Down 46h_Down 96h_Down	1	Niben261Chr06g0052009.1
34h_Down 37h_Down 40h_Down 46h_Down 56h_Down 96h_Down	4	Niben261Chr18g0787009.1
		Niben261Chr03g0026017.1
		Niben261Chr15g0447006.1
		Niben261Chr11g0699023.1
22h_Down 25h_Down 28h_Down 34h_Down 37h_Down	4	Niben261Chr01g1137001.1
		Niben261Chr01g1665002.1
		Niben261Chr03g0053012.1
		Niben261Chr02g1423002.1
22h_Down 25h_Down 28h_Down 34h_Down 40h_Down	13	Niben261Chr17g0420005.1
		Niben261Chr03g0205002.1
		Niben261Chr08g0007011.1
		Niben261Scf01817g0000002.1
		Niben261Chr15g1457004.1
		Niben261Chr16g0615006.1
		Niben261Chr02g0788005.1
		Niben261Chr15g1084011.1
		Niben261Chr13g0061012.1
		Niben261Chr08g0422005.1
		Niben261Chr03g0068009.1
		Niben261Chr12g0629011.1
		Niben261Chr02g1031008.1
22h_Down 25h_Down 28h_Down 34h_Down 46h_Down	3	Niben261Chr09g1282007.1
		Niben261Chr14g0135012.1
		Niben261Chr16g0303005.1
22h_Down 25h_Down 28h_Down 34h_Down 56h_Down	1	Niben261Chr03g0048013.1
22h_Down 25h_Down 28h_Down 34h_Down 96h_Down	5	Niben261Chr16g0438018.1
		Niben261Chr19g0661007.1
		Niben261Chr07g1511011.1
		Niben261Chr07g1438008.1
		Niben261Chr18g1459015.1
22h_Down 25h_Down 28h_Down 37h_Down 40h_Down	1	Niben261Chr03g0883002.1
22h_Down 25h_Down 28h_Down 37h_Down 96h_Down	1	Niben261Chr13g0012011.1
22h_Down 25h_Down 28h_Down 40h_Down 46h_Down	4	Niben261Chr11g1394015.1
		Niben261Chr06g0224006.1
		Niben261Chr14g0754010.1
		Niben261Chr04g0081016.1
22h_Down 25h_Down 28h_Down 40h_Down 56h_Down	2	Niben261Chr03g1430006.1
		Niben261Chr03g0746011.1
22h_Down 25h_Down 28h_Down 40h_Down 96h_Down	1	Niben261Chr13g0666003.1
22h_Down 25h_Down 28h_Down 46h_Down 56h_Down	2	Niben261Chr17g0649001.1
		Niben261Chr07g0450002.1
22h_Down 25h_Down 40h_Down 46h_Down 56h_Down	2	Niben261Chr19g0250003.1
		Niben261Chr06g0667008.1
22h_Down 28h_Down 34h_Down 40h_Down 96h_Down	1	Niben261Chr08g0391006.1
22h_Down 37h_Down 40h_Down 46h_Down 56h_Down	1	Niben261Chr10g0161007.1
25h_Down 28h_Down 34h_Down 37h_Down 40h_Down	6	Niben261Chr08g0258005.1
		Niben261Chr04g1129005.1
		Niben261Chr02g0739004.1
		Niben261Chr06g0560011.1
		Niben261Chr11g1100005.1
		Niben261Chr08g1141004.1
25h_Down 28h_Down 34h_Down 37h_Down 46h_Down	2	Niben261Chr01g1238008.1
		Niben261Chr13g1012014.1
25h_Down 28h_Down 34h_Down 40h_Down 46h_Down	2	Niben261Chr10g0611003.1
		Niben261Chr12g0056004.1
25h_Down 28h_Down 34h_Down 40h_Down 56h_Down	2	Niben261Chr11g0701008.1
		Niben261Chr02g0868002.1
25h_Down 28h_Down 34h_Down 46h_Down 56h_Down	1	Niben261Chr07g0468008.1
25h_Down 28h_Down 40h_Down 46h_Down 56h_Down	3	Niben261Chr16g0270010.1
		Niben261Chr02g1284017.1
		Niben261Chr13g1514002.1
25h_Down 28h_Down 40h_Down 46h_Down 96h_Down	1	Niben261Chr08g0173007.1
25h_Down 34h_Down 37h_Down 40h_Down 46h_Down	1	Niben261Chr07g1129018.1
25h_Down 34h_Down 37h_Down 40h_Down 56h_Down	1	Niben261Chr14g0025003.1
25h_Down 34h_Down 40h_Down 46h_Down 56h_Down	1	Niben261Chr01g0567003.1
25h_Down 34h_Down 46h_Down 56h_Down 96h_Down	1	Niben261Chr06g0776024.1
25h_Down 37h_Down 40h_Down 46h_Down 56h_Down	1	Niben261Chr13g1258002.1
28h_Down 34h_Down 37h_Down 40h_Down 46h_Down	3	Niben261Chr03g1481017.1
		Niben261Chr09g0677003.1
		Niben261Chr14g1315009.1
28h_Down 34h_Down 37h_Down 40h_Down 56h_Down	2	Niben261Chr06g0990009.1
		Niben261Chr06g0990008.1
28h_Down 34h_Down 37h_Down 40h_Down 96h_Down	1	Niben261Chr03g0122016.1
28h_Down 34h_Down 40h_Down 46h_Down 56h_Down	10	Niben261Chr09g1297002.1
		Niben261Chr13g0796002.1
		Niben261Chr07g1356001.1
		Niben261Chr01g0602008.1
		Niben261Chr05g1054005.1
		Niben261Chr14g0790004.1
		Niben261Chr03g0354012.1
		Niben261Chr04g0951015.1
		Niben261Chr05g0648005.1
		Niben261Chr04g1443009.1
28h_Down 34h_Down 40h_Down 56h_Down 96h_Down	1	Niben261Chr15g1149009.1
28h_Down 37h_Down 40h_Down 46h_Down 56h_Down	3	Niben261Chr13g0035002.1
		Niben261Chr06g1414003.1
		Niben261Chr07g0892004.1
34h_Down 37h_Down 40h_Down 46h_Down 56h_Down	71	Niben261Chr14g0553002.1
		Niben261Chr08g0193001.1
		Niben261Chr07g1369022.1
		Niben261Chr15g0715003.1
		Niben261Chr04g1681006.1
		Niben261Chr15g0628012.1
		Niben261Chr06g0443002.1
		Niben261Chr03g0172007.1
		Niben261Chr04g1686003.1
		Niben261Chr03g0962008.1
		Niben261Chr03g0426010.1
		Niben261Chr04g0059014.1
		Niben261Chr02g0711010.1
		Niben261Chr18g1448010.1
		Niben261Chr01g0350004.1
		Niben261Chr07g1027009.1
		Niben261Chr14g1474007.1
		Niben261Chr03g0035008.1
		Niben261Chr17g1061006.1
		Niben261Chr09g0958009.1
		Niben261Chr08g0959009.1
		Niben261Chr13g1433002.1
		Niben261Chr17g1104002.1
		Niben261Chr14g0199002.1
		Niben261Chr09g0866011.1
		Niben261Chr10g0164002.1
		Niben261Chr02g1409007.1
		Niben261Chr06g0688010.1
		Niben261Chr09g0543002.1
		Niben261Chr17g0004017.1
		Niben261Chr03g0999006.1
		Niben261Chr03g1294006.1
		Niben261Chr02g0455001.1
		Niben261Chr14g1337004.1
		Niben261Chr04g0059015.1
		Niben261Chr08g0634012.1
		Niben261Chr14g0997003.1
		Niben261Chr13g0866003.1
		Niben261Chr10g1260006.1
		Niben261Chr04g1808011.1
		Niben261Chr01g0581003.1
		Niben261Chr04g1726010.1
		Niben261Chr05g1135002.1
		Niben261Chr08g1116002.1
		Niben261Chr12g0714002.1
		Niben261Chr05g1135010.1
		Niben261Chr15g1268003.1
		Niben261Chr03g0287036.1
		Niben261Chr17g1536002.1
		Niben261Chr18g0746001.1
		Niben261Chr10g1298004.1
		Niben261Chr03g0822026.1
		Niben261Chr15g0785007.1
		Niben261Chr09g0524003.1
		Niben261Chr01g1827008.1
		Niben261Chr14g0099003.1
		Niben261Chr01g0689001.1
		Niben261Chr05g0781012.1
		Niben261Chr16g0049001.1
		Niben261Chr03g0048008.1
		Niben261Chr09g0387002.1
		Niben261Chr15g1380002.1
		Niben261Chr07g0925001.1
		Niben261Chr02g0750004.1
		Niben261Chr06g1413003.1
		Niben261Chr14g0365006.1
		Niben261Chr05g1184012.1
		Niben261Chr04g1538002.1
		Niben261Chr19g0115032.1
		Niben261Chr17g0704004.1
		Niben261Chr02g0408003.1
34h_Down 40h_Down 46h_Down 56h_Down 96h_Down	1	Niben261Chr19g0291004.1
37h_Down 40h_Down 46h_Down 56h_Down 96h_Down	2	Niben261Chr14g0549008.1
		Niben261Chr14g1513045.1
22h_Down 25h_Down 28h_Down 34h_Down	30	Niben261Chr17g0171006.1
		Niben261Chr09g1304014.1
		Niben261Chr01g1483009.1
		Niben261Chr14g1114006.1
