GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr04g1807009.1	30.689737	19.925615	12.319537	10.484414	15.815136	12.006235	6.323538	7.349754	14.211557	7.408883	3.962356	9.299318	9.302272	12.544561	16.151558	26.551932	27.469378	27.759349	8.282841	15.199974	14.981137	31.555368	35.125901	50.571217	43.05304	31.701438	30.199427	14.18343	38.938677	31.330226	18.062809	15.445179	13.020243	25.727676	7.57348	10.017313	13.53035	28.340688	11.815322	50.093112	41.514521	40.915694	4.568769	11.62352	9.12611	19.968729	36.644136	19.901661
Niben261Chr04g1875001.1	1.363488	1.840561	1.102393	1.254515	1.811577	1.404842	0.739733	1.241071	1.045018	2.400151	1.529216	2.511898	1.571609	1.708351	1.618608	2.864845	3.30429	2.903407	1.706524	2.021646	1.835886	3.52508	3.54838	3.413522	1.954832	2.495844	2.121789	1.338557	2.627394	2.258154	1.438055	1.296705	1.862241	2.516603	1.945105	1.710615	1.893905	2.626908	2.137996	3.453597	2.630597	2.459052	1.250138	1.456066	1.533685	1.752217	2.873616	2.156235
Niben261Chr06g1150008.1	2.458531	2.788566	1.746856	4.027005	4.472828	3.535628	2.710688	3.709546	4.501815	3.516804	3.46499	3.329186	3.054614	2.782078	2.810992	3.262691	4.554842	4.203491	3.805653	4.118908	3.60443	6.482077	6.578431	6.312331	2.843388	3.341777	2.686483	5.317169	4.971931	4.697509	3.300724	3.727561	3.723873	4.813752	3.638966	2.892253	3.845099	2.923967	2.679767	5.008957	4.514949	4.579454	3.72177	4.134323	3.792111	4.327304	5.777423	4.684768
Niben261Chr06g1262006.1	0.469374	0.492989	0.313704	0.389754	0.361527	0.320995	0.21835	0.29641	0.418487	0.204664	0.211437	0.409821	0.446062	0.27573	0.382951	0.411367	0.694943	0.673364	0.437412	0.382929	0.363459	0.799183	0.694344	0.9015	0.572811	0.739681	0.659753	0.647337	0.567226	0.443204	0.256511	0.264621	0.243584	0.516645	0.311214	0.211925	0.501484	0.615232	0.236207	0.784119	0.986315	0.745606	0.373543	0.583564	0.538741	0.549207	0.754745	0.726352
Niben261Chr07g0304013.1	0.753233	0.861367	0.79319	0.900174	0.863636	1.049104	1.446171	1.723212	2.016023	0.897648	1.073683	1.170786	0.652306	0.946601	0.591056	1.450678	1.297689	1.925297	0.697765	0.853213	0.918084	2.122646	2.311955	2.380424	1.151089	1.480641	1.355152	0.966075	1.470156	1.20953	0.706395	1.154894	0.933855	1.287111	0.980804	0.930426	0.621568	1.251063	0.768871	1.785684	1.912632	1.747055	1.028429	1.285452	1.195103	1.666423	2.035171	1.401203
Niben261Chr07g0594021.1	2.372276	2.319754	2.126282	2.458603	2.296133	2.576668	2.157945	2.481182	3.616539	2.116151	2.288194	2.643182	2.1005	1.994902	2.29753	2.713286	2.968515	2.665307	2.48721	2.350185	1.942622	3.896065	4.970318	4.988911	2.8526	3.123632	3.328604	2.047628	3.594884	2.805923	2.801547	2.536716	2.468683	3.390757	2.327655	2.274348	1.994169	2.716732	1.561702	3.615758	3.749175	3.284898	2.607632	2.953616	3.11075	2.856451	5.209656	4.597751
Niben261Chr07g0594019.1	2.781762	1.939331	1.890961	2.240332	3.813647	2.31245	1.671033	2.43432	3.423015	3.071011	2.623991	2.83251	3.154336	2.796171	2.45547	3.145892	4.38477	4.051152	2.088722	2.628914	3.044674	6.697639	6.51231	5.640157	3.554368	3.824853	3.55135	3.945929	5.303849	3.43768	2.529013	2.972041	2.544316	4.034032	2.297542	2.444395	2.713467	3.291947	1.978693	4.067397	5.814209	4.40627	2.805858	3.300238	3.260851	4.813664	4.765948	4.34106
Niben261Chr07g1095014.1	1.620667	1.488538	1.158505	0.77452	1.057493	1.4356	0.908274	0.913809	1.702887	0.803092	0.282386	0.870151	0.821253	0.672812	1.070056	2.254163	2.388522	2.148888	0.97975	1.307649	1.020082	2.575301	2.987981	2.545383	2.156637	2.25773	1.493425	1.222267	1.211933	0.865554	0.779815	1.394558	1.292539	2.348906	0.854713	1.655896	0.89129	1.620849	1.269841	2.254079	2.303473	3.028238	0.525166	1.571695	0.22764	0.877937	2.28441	1.4945
Niben261Chr08g0012013.1	4.222636	4.600634	4.284375	5.963085	8.006619	4.926432	5.350244	6.277372	9.973572	4.480259	3.856333	5.548419	4.27443	4.265492	4.407612	7.318958	12.511637	8.284638	3.687967	4.363123	4.385824	11.899678	11.784979	10.617836	4.227639	6.065782	5.881441	9.814565	10.946039	9.707684	5.150673	7.815892	7.841675	6.582195	3.700003	3.954411	4.588877	6.700954	3.178118	10.277164	12.343119	8.3985	5.305124	5.575892	5.173299	7.663299	9.245485	7.751669
Niben261Chr08g0294009.1	1.979467	2.092929	1.359158	2.445574	4.021029	3.155756	3.065542	3.017632	3.882367	4.121901	3.509506	4.900419	4.13989	4.772914	3.630431	6.217632	9.67771	9.939803	3.837767	4.188022	3.396307	10.515704	11.26164	10.400814	2.440733	2.192589	2.442447	3.275074	4.755151	3.893283	2.761981	3.244953	3.785159	4.12653	2.666811	2.732132	3.365304	3.988011	2.110753	6.498563	8.151686	6.160111	4.61145	3.764855	3.5282	7.319342	8.647831	8.613293
