GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr03g0990007.1	3.230959	3.393323	2.55652	5.078825	6.322332	5.500418	5.311622	6.377054	9.519259	5.756437	5.221649	6.301752	6.843519	5.266986	5.841785	6.599055	8.93342	8.436894	6.172701	7.634974	6.213343	14.139644	15.094012	15.174942	4.489611	4.807232	4.367008	8.416841	7.918837	7.99416	8.352698	9.577044	10.80873	7.013577	5.212056	4.331843	7.838273	7.224655	5.569395	8.035529	8.96941	7.342413	5.531243	7.566582	7.386612	10.0352	11.467553	9.458419
Niben261Chr03g1033006.1	1.383871	1.391792	1.040519	2.647779	3.652933	2.90845	3.943076	4.093267	7.410052	5.663897	3.613695	5.40013	4.646416	3.983432	3.210784	2.753489	3.183494	3.814155	2.477645	2.774466	2.953596	13.001013	12.649801	14.030974	1.174094	0.834848	1.14942	4.174989	4.667505	4.313641	6.286576	6.826685	6.598173	5.275814	4.652512	4.759701	4.553909	3.916395	3.350892	2.954748	3.392649	2.161657	2.383798	2.628189	2.630049	7.128471	5.497652	7.643284
Niben261Chr03g1445013.1	2.110433	2.437758	3.212879	4.636891	4.634376	3.299235	5.105159	6.836458	9.9377	4.225359	4.552741	5.249235	5.036172	3.130625	4.331895	3.816328	3.511315	3.860986	5.52417	6.721197	4.764035	16.297493	17.48995	15.936856	2.378064	2.974106	4.676433	4.980307	4.671958	4.245736	4.66707	8.330516	5.031237	7.044166	5.342188	4.809077	4.825782	6.294717	4.461771	4.520507	6.324874	4.676264	6.055235	6.349522	7.228661	6.805506	9.39039	7.918163
Niben261Chr04g0178002.1	0.625655	0.54706	0.145433	0.91662	1.06287	0.606344	0.992404	0.951315	2.032981	2.046789	1.440384	2.023404	1.58513	1.18879	1.433089	1.250008	0.916202	1.69556	0.36625	0.259063	0.583904	3.196982	2.535613	2.077731	0.253538	0.545198	0.329915	1.106779	1.263598	0.969186	1.068942	1.571437	1.105751	1.046407	0.869924	1.039958	1.543664	1.229769	0.708874	0.506718	0.527456	0.597536	0.441559	0.330434	0.250989	0.495118	0.997085	1.47172
Niben261Chr04g0216027.1	0.115807	0	0.213584	0.46025	1.072033	0.742762	0.438278	0.655381	1.113958	0.43489	0.13471	0.73252	0.400642	0.671079	0.09399	0.651952	0.376725	0.431978	0.554169	0	0.320365	1.573156	1.604073	1.55791	0.200257	0.146547	0.166451	0.667156	0.655094	0.945267	0.74604	1.093969	0.244295	0.499581	0.666622	0.430028	0.214635	0.834419	0.164366	0	0.685853	0.586985	0.463771	0.599393	0.443369	0.295558	0.929282	0.786224
Niben261Chr04g1477003.1	0.465214	0.313056	0.609444	1.563505	1.624772	0.899918	1.997408	1.577151	2.514162	2.60388	2.175143	2.034068	2.192207	1.459473	1.94545	1.347408	1.294117	1.840903	1.046755	1.673271	1.552732	3.275112	3.928928	3.965342	0.398745	0.44796	0.417079	1.594283	1.77579	1.421847	2.035697	1.894676	2.806087	2.951361	1.887141	1.261656	1.331371	1.801863	1.478498	0.860513	1.027303	1.170042	0.860023	0.534283	0.773454	1.234247	1.513395	1.092793
Niben261Chr04g1670013.1	0.606749	1.035528	1.290286	1.83286	1.532418	1.457666	1.414485	1.489279	1.369187	1.374933	1.597988	1.682164	1.760833	1.633099	1.286332	1.387116	1.446092	1.784177	1.104232	1.391819	1.342946	2.526549	3.278785	3.003112	0.663473	0.931721	1.661055	1.370424	1.62374	1.450055	1.408681	1.333296	1.071453	1.590794	1.792059	1.220325	1.463095	1.058204	1.02011	1.2514	1.088568	1.049501	1.566055	1.375325	1.469474	1.976556	2.258235	1.96286
Niben261Chr05g0166006.1	2.564758	2.7169	2.787653	4.101501	5.278918	4.446537	5.0687	5.842993	7.150932	4.419808	4.949088	3.933902	3.118376	3.302452	3.214966	3.185661	3.43626	4.077723	3.021753	3.789985	3.021276	8.307096	8.883349	7.97803	3.044924	3.292445	3.777169	5.586739	7.405844	5.854787	5.914154	7.872112	5.932303	5.327096	3.659467	3.540061	2.712534	4.278599	2.994485	3.836246	3.645578	3.936451	3.016216	3.728734	4.181689	6.823251	6.514055	6.875487
Niben261Chr05g0186017.1	0.297828	0.160389	0.326235	5.059921	6.956169	5.394532	14.79279	17.668822	18.98303	15.960876	18.653666	16.903604	8.425044	8.850634	7.269461	2.497388	2.898262	2.650386	3.243458	3.136576	3.067561	29.61883	31.271715	27.233709	0.250441	0.193915	0.630786	6.200068	7.869632	7.78024	16.78377	19.330706	17.026611	10.756159	12.831172	11.102264	5.374359	6.00581	4.997772	1.772695	1.734539	1.807107	2.54363	2.48305	3.03751	27.752907	23.940398	27.559246
Niben261Chr05g0475008.1	0.040531	0	0.091001	1.471	1.658868	1.188607	4.759186	5.588814	6.623665	2.428735	2.596561	3.204747	2.157234	1.372014	1.596542	0.586671	0.423524	0.537715	0.864326	1.129134	0.700533	10.096642	8.617231	7.713585	0	0.079297	0	2.580068	2.352665	3.062738	8.146445	7.294736	7.88383	2.205018	2.782476	2.078311	2.039096	0.837304	1.794473	0.607339	0.559855	0.57488	1.215671	0.920092	1.128768	8.730714	8.207454	7.915679
