GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr02g0778003.1	0	0	0	11.191789	12.976535	31.473911	0	10.013416	10.924407	16.027959	15.178511	3.620927	9.666915	4.524336	9.163684	0	0	8.406796	38.226915	23.395327	31.310165	32.397927	28.230877	34.230127	0	0	9.841446	10.934275	8.424767	8.677224	16.368226	3.799299	0	12.362874	13.748456	0	0	0	0	20.239072	4.720332	36.702939	50.808646	33.938274	70.564559	29.569593	25.497028	43.909841
Niben261Chr02g0804027.1	0.233337	0.090632	0	0.158234	0.256855	0.228853	0.13297	0.042472	0.185345	0	0	0.061433	0.041003	0	0.155472	0.21666	0.094924	0.249604	0.254793	0.396928	0.132803	0.183222	0.329291	0.580753	0.288686	0.225225	0.417428	0.23189	0.309694	0.294438	0.10414	0.257838	0.049446	0.157313	0.038876	0.121466	0.097726	0.116778	0.071922	0.085845	0.160172	0.06919	0.095781	0.215925	0.138139	0.083614	0.216293	0.093123
Niben261Chr02g0947008.1	4.109405	3.027533	3.34206	3.855049	4.467798	3.609226	3.269354	3.240053	4.421642	3.365316	2.813899	3.259533	3.356419	2.754058	2.733553	3.437276	4.201924	4.090127	4.142989	5.374969	5.069453	5.000567	5.707556	5.760978	4.592853	4.717018	4.856746	5.059837	6.242015	5.134728	4.327832	4.76739	5.793931	3.516605	3.866932	2.857819	3.623746	3.719733	2.696783	4.592714	4.463362	4.876668	4.264003	5.59544	4.764644	3.992767	4.496208	3.745961
Niben261Chr02g0948020.1	1.017159	0.601975	0.617357	1.109728	1.022922	0.697233	0.347543	0.697643	0.880898	0.46082	0.753595	0.865013	0.967156	1.013079	0.684362	0.747134	1.926929	1.029198	1.377697	2.20067	1.563093	1.326206	1.70523	2.474364	0.736454	0.872931	1.214635	2.125129	2.741129	2.330441	1.288859	1.087065	1.028151	1.042393	0.704098	1.048283	1.011134	0.558031	0.851433	1.348757	2.045939	1.1731	1.724102	1.946647	2.14085	1.133711	1.87834	1.86352
Niben261Chr02g1022005.1	0.299186	0.211273	0.190888	0.258085	0.106935	0.333407	0.129129	0.098989	0.054006	0.079208	0.149982	0.143113	0.119454	0.111815	0.113236	0.126273	0.202852	0.145385	0.296724	0.578039	0.386986	0.320309	0.610569	0.888405	0.56012	0.481188	0.389184	0.594246	0.458111	0.386041	0.202286	0.187856	0.381474	0.274983	0.135912	0.035387	0.199426	0.204255	0.230586	0.125079	0.163372	0.181447	0.195399	0.335549	0.134178	0.121834	0.252054	0.081438
Niben261Chr02g1145001.1	0.726307	0	0.844909	0.656713	0.802957	0.791499	0.92008	1.003328	0.714232	0.386365	0.992308	0.779291	0.625691	1.0896	1.3798	0.281012	0	1.006465	1.560666	1.034084	1.360972	1.422433	2.531697	4.161544	1.747552	0.389521	1.293234	0.481202	0.988773	1.650596	3.07398	0.321873	2.046422	2.041325	0.795493	2.150236	2.524066	1.183384	1.462725	0.591255	0.180852	1.247478	1.739803	0.560219	0.673476	0.859686	0.82726	1.445296
Niben261Chr02g1293010.1	0.290818	0.282397	0.255107	0.443732	0.342996	0.475382	0.690525	0.694771	0.794073	0.141217	0.1003	0.239271	0.127758	0.059794	0.060554	0	0.19718	0.166656	0.396948	1.23677	0.620693	1.56996	1.352484	3.67563	0.974462	0.818728	1.300645	1.661834	0.742278	1.070329	0.91937	1.054442	2.465055	0.653551	0.726798	0.283852	0.152249	0.667082	0.11205	0	0.062384	0.592858	0.671487	0.953122	0.860844	0.586187	0.842422	0.580312
Niben261Chr02g1410004.1	59.673133	66.992403	52.150963	57.164592	64.536362	47.684111	41.506004	32.80733	70.703056	28.653248	20.810061	35.918659	33.71858	25.541604	38.799371	42.482975	61.215826	51.697034	69.14585	90.377412	92.797861	75.336829	85.094371	124.39962	86.452726	79.224551	67.66258	85.758043	75.191711	81.993633	69.963696	55.153264	89.315245	49.353685	32.524499	32.044961	36.001634	49.589129	24.615499	51.007717	54.818902	45.716018	52.586268	66.88701	58.441291	42.329093	53.20656	42.937709
Niben261Chr02g1445002.1	0.234949	0.236198	0.245475	0.463468	0.450959	0.385367	0.186117	0.244284	0.317673	0.20705	0.357786	0.150574	0.311804	0.146185	0.29213	0.313413	0.428797	0.360122	0.413745	0.586084	0.380279	0.516112	0.514516	0.524221	0.337816	0.229114	0.294442	0.394628	0.48943	0.5264	0.319223	0.42349	0.330911	0.371607	0.282431	0.184212	0.285135	0.305578	0.188017	0.410972	0.416599	0.484958	0.534756	0.438796	0.352188	0.410754	0.291532	0.380616
Niben261Chr03g0028005.1	0	0.16153	0.146605	0.382507	0.246832	0.461839	0.297427	0.3318	0.311309	0.365151	0.17279	0.371226	0.495662	0.567573	0.470194	0.145529	1.090084	0.993746	0.857319	1.714404	1.062673	1.415191	2.215622	2.332755	0.323047	0.201646	0.224237	0.68498	0.864039	0.494613	0.093325	0.476006	0.79749	0.211086	0.417535	0.163125	0.393645	0.261382	0.434409	0.634262	0.892143	0.603914	0.708151	0.966862	0.928005	1.180118	0.787751	0.775939
Niben261Chr03g0271002.1	1.000806	0.731945	1.315988	1.329389	1.272908	1.074307	1.13473	1.008656	1.428153	1.158331	1.013751	1.053172	0.934564	0.979087	1.396657	1.368205	0.948177	0.958902	1.063377	1.797388	1.11377	2.195021	2.254524	1.716231	0.648612	0.704103	1.028473	1.256155	1.72085	1.535153	1.785758	1.365143	1.557817	1.196939	0.929674	0.961653	0.916652	1.286631	0.769932	0.983097	1.311115	1.131365	0.821004	1.212671	1.278413	0.794334	1.209947	1.225325
Niben261Chr03g0284001.1	0	0.40782	0.337709	0.106739	0	0	0	0.15528	0.156408	0.20399	0.21727	0.24193	0.161426	0.172701	0.131172	0	0.195702	0.100281	0.130204	0.312628	0.199228	0.412128	0.774589	1.08194	0	0.422211	0.352123	0.260861	0.442244	0.248317	0.234399	0	0.138907	0.413065	0.327999	0.170801	0.219869	0.372143	0	0.072441	0.135136	0.194545	0.350236	0.323895	0.207258	0.305563	0.54758	0
Niben261Chr03g0394010.1	0.888908	0.932731	0.467904	1.342322	1.633806	0.912725	0.933449	0.956184	1.493988	1.139778	0.659014	0.842194	1.295718	1.353599	1.427472	1.348313	1.448296	1.296915	1.64825	2.418165	1.993918	1.824488	2.336723	2.164315	1.539102	1.43929	1.487976	2.120683	2.236358	2.214334	1.657898	1.509733	1.59986	1.06759	1.090668	1.042438	1.314007	1.27141	0.78584	1.685009	1.459751	1.60905	1.793864	1.511539	1.795991	1.754209	1.923137	1.422758
Niben261Chr03g0462003.1	1.589963	1.345799	1.204318	1.540229	1.997035	1.412548	1.169617	1.175731	1.382107	1.146047	0.738681	0.93834	1.551725	0.825762	1.155918	0.856801	1.269461	1.211296	2.627317	2.638168	2.12993	2.507038	2.493203	3.550091	1.797827	2.394822	2.331434	3.693521	2.659453	2.685407	2.176797	2.566492	2.955608	1.88839	1.166233	1.370203	1.748236	1.454903	1.038189	1.37402	1.465021	1.751056	2.856684	2.755298	2.351063	1.601723	2.499539	1.742997
Niben261Chr03g0986001.1	0.227386	0.275987	0.33244	0.348172	0.31288	0.092923	0.053991	0.284549	0.113022	0.496868	0	0.187082	0.150302	0.093503	0.04747	0.131959	0.269801	0.347482	0.536277	1.644767	0.971507	1.451039	2.662794	6.013053	0.410262	1.14305	0.305086	0.621393	0.3484	0.806972	0.253699	0.196283	0.361335	0.38325	0.378789	0.221721	0.119041	0.284434	0.043805	0.261422	0.341438	0.674394	1.049901	0.745556	0.448554	0.814722	1.317878	0.964105
Niben261Chr03g0999006.1	0.215323	0.470449	0.535168	0.54757	0.529075	0.461968	0.230071	0.465421	0.694834	0.575069	0.259919	0.620052	0.425667	0.221358	0.336257	0.499834	0.620473	0.349615	0.360699	0.961498	0.842535	0.792551	0.759674	1.06765	0.388499	0.562892	0.529653	0.454725	0.975517	0.863236	0.600624	0.316004	0.427768	0.9073	0.358751	0.45536	0.253634	0.224505	0.207406	0.420842	0.369515	0.359146	0.690518	0.8925	0.58426	0.361681	0.717294	0.375959
Niben261Chr03g1069008.1	0.152099	0.113562	0.105124	0.300076	0.274364	0.149002	0.09937	0.148259	0.239602	0.109813	0.080641	0.086795	0.174757	0.152771	0.087644	0.122077	0.171614	0.202892	0.468368	0.645491	0.341918	0.463436	0.373293	0.734666	0.137972	0.112903	0.173099	0.302185	0.416787	0.219543	0.200116	0.169625	0.208063	0.311335	0.11719	0.060835	0.110149	0.234017	0.08119	0.233678	0.301211	0.344852	0.348122	0.477703	0.551808	0.323168	0.178886	0.287474
Niben261Chr03g1081001.1	0.828123	0.3643	0.81092	0.711567	0.700939	0.440627	0.295713	0.415382	1.306069	0.608661	0.488878	0.462415	0.736534	0.448106	0.519215	0.631649	0.348088	0.450755	0.53621	1.155647	0.710862	0.788011	1.300395	1.820169	0.978787	0.891445	0.934096	1.214235	0.966059	1.04109	0.69239	0.470145	0.614757	0.469333	0.383431	0.477401	0.330694	0.616117	0.478525	0.544922	0.900461	0.809173	0.630043	1.221253	0.646312	0.804873	0.415576	0.618093
Niben261Chr03g1099002.1	3.558469	3.989099	3.184198	3.354458	3.463536	4.018204	3.167574	3.019388	4.160612	2.799909	2.633781	3.336782	3.790796	2.847767	3.550024	3.634187	4.347517	4.012209	3.62295	4.968834	5.306473	5.052836	6.79916	7.234159	4.593943	4.251346	4.860896	3.808917	6.357177	5.841839	4.543418	4.725256	4.180697	4.139982	3.147405	4.380394	4.523471	4.716232	2.406853	4.948998	4.920299	5.290371	4.213876	6.273374	5.21823	4.105802	5.415479	4.452472
Niben261Chr03g1155012.1	1.43857	0.42982	0.388283	0.37521	0.87009	0.090444	0.210202	0.652299	1.098739	0.537345	0.45798	0.291344	0.680585	0.182017	0.18433	0	0.375146	0.33821	1.319478	1.860785	1.614194	3.793848	4.599852	7.615855	3.404421	1.688436	2.547896	1.429626	0.788448	1.438807	0.987755	1.449701	1.289721	1.367756	0.829633	0.288024	0.23173	1.107629	0.128999	1.221345	0.752241	1.80471	0.796407	1.099547	1.201054	0.991335	0.640785	1.756176
Niben261Chr03g1157001.1	2.310812	1.224134	1.228968	0.569692	0.330552	1.030343	0	0.669265	0.83446	0.407767	0.289852	0.553071	0.738407	0	0.699764	0.243862	1.424285	0.963623	4.381228	6.076065	5.182556	7.218307	7.544473	9.150042	3.898667	2.196827	2.067281	1.461625	1.178857	2.541301	3.281686	1.015246	1.780321	1.180422	1.050175	0.820296	0.880269	1.401736	0.485713	1.352496	1.80235	1.401776	2.802956	4.373528	2.487725	1.694466	1.9473	1.467398
Niben261Chr03g1600001.1	7.228935	4.224292	5.235982	4.278031	4.927869	3.933065	4.237371	3.804754	5.900525	10.509342	7.450207	6.977592	5.997582	10.760382	9.910938	9.275747	7.371969	9.596795	10.625038	17.190428	16.499569	68.280251	40.512404	43.204035	9.427338	9.103558	10.452052	6.976428	7.617009	6.731662	5.146614	3.317544	4.477955	11.489008	10.465321	7.62697	9.143593	15.061337	12.497744	11.355936	12.577081	12.176498	28.095581	17.343071	24.886616	33.265184	17.442342	29.156485
Niben261Chr04g0150001.1	0.744906	1.033358	0.732616	1.210639	1.622236	1.490467	0.867768	0.959716	1.293634	0.498471	0.303664	0.460733	0.742162	0.403077	0.409508	1.46492	2.199719	1.301812	2.669037	1.95525	2.739194	4.750986	3.08434	2.250002	0.851107	1.184507	1.250935	2.664987	3.359053	2.417259	1.60537	1.19938	1.68598	0.616371	0.693765	0.383579	0.989136	0.781908	0.554546	3.166555	4.341868	1.940734	1.5958	2.205416	3.206466	1.499159	1.120706	1.259251
Niben261Chr04g0167007.1	0	0.060619	0	0.084668	0	0.051023	0.059291	0.056815	0	0.060627	0	0.123268	0.054849	0.051341	0	0.144913	0.12698	0	0.06197	0.159291	0.059217	0.245096	0.120134	0.43699	0.064362	0.100427	0	0.310199	0.286807	0.131289	0	0.215568	0.132287	0.070146	0	0.243727	0	0	0.09621	0.172251	0.053565	0.092555	0.320314	0.288843	0.061596	0.223699	0.072334	0.12457
Niben261Chr04g0249001.1	10.662506	6.898339	11.672281	8.599336	13.253548	8.767908	5.959681	8.211882	10.911618	9.464365	6.804001	9.117008	8.904719	8.521524	9.352341	11.411618	12.608807	12.654118	16.391736	17.944795	14.266857	19.433179	19.712102	18.386913	13.104297	10.09179	13.245739	10.612572	15.937039	11.801163	11.457903	12.55365	11.952485	11.88524	6.902096	9.028241	6.546372	13.826244	7.60582	13.029576	11.9888	12.563022	14.337069	15.015532	12.945624	10.859536	13.386762	11.334734
