GeneID	Description	GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr06g0671005.1	40S ribosomal protein S3a	33.598994	49.147596	36.658615	35.490309	31.507329	35.381184	31.079777	30.547366	27.327877	36.897202	35.10789	38.12003	38.301679	41.516669	41.171705	41.507229	50.009202	44.826743	32.125842	30.338009	29.788476	33.097308	35.116892	37.056388	34.892229	42.765763	38.331398	26.716768	30.630554	30.758046	19.191867	20.905187	20.741081	30.68337	32.947982	32.808187	43.161635	33.129147	38.471273	38.843457	44.308672	37.221965	39.406199	32.341965	32.623422	44.727446	39.901208	46.678077
Niben261Chr06g0812001.1	rRNA 2'-O-methyltransferase fibrillarin 2-like protein	9.083533	13.36874	7.811231	9.325693	5.754444	7.380293	6.752127	7.48469	6.326417	9.6945	9.037701	8.337308	11.298546	12.559943	12.658621	9.664956	7.788096	11.306516	6.519199	5.487893	5.94228	6.487867	9.958673	10.296263	7.389885	8.016617	4.922747	5.614764	6.173344	6.603516	4.737189	6.528429	5.158931	8.654627	10.241031	8.775284	14.225164	9.437546	14.340904	12.347144	11.445839	12.264316	9.609355	9.794497	9.546291	15.735692	13.934584	14.432617
Niben261Chr06g0823016.1	60S ribosomal protein L36	509.613897	750.121543	490.74712	525.839874	472.416618	542.353177	506.581302	457.939859	515.190547	765.588821	656.542734	606.088262	699.615074	584.064757	643.440256	544.364875	570.284226	536.016395	380.288981	405.612502	451.097907	521.202499	473.18199	569.23781	585.745038	796.889569	487.898014	849.048339	429.692293	526.183911	458.276353	380.550376	507.149488	538.55772	522.719565	476.732753	785.889039	468.019549	733.497079	657.15522	589.789945	577.992921	739.007463	502.995726	543.411136	587.945719	772.546297	626.668573
Niben261Chr06g1082017.1	protein DCL, chloroplastic-like	6.425113	12.363564	7.931522	10.787816	8.420924	7.486462	9.380067	5.955661	6.024412	10.281997	10.998078	9.789796	10.661939	11.840243	12.982016	8.698709	9.922259	11.909082	8.148663	8.198211	8.237488	8.055923	9.464147	12.278809	6.867557	10.143051	6.064405	8.984543	7.28726	8.238988	6.458794	4.929529	5.292988	10.691913	11.199439	9.752144	13.699756	9.227535	13.933671	10.070683	8.470787	12.169397	11.111038	9.356747	8.099366	13.64127	14.474969	12.936733
Niben261Chr06g1160016.1	60S ribosomal protein L44	157.002307	220.637523	125.805208	195.669034	151.198972	185.900035	176.763352	157.810485	150.339171	205.194671	220.426955	216.788702	199.193049	200.585136	215.334986	200.744945	167.369278	212.102764	142.166686	106.187988	169.895691	145.425083	166.063028	181.371331	175.15252	198.689226	176.291807	135.541033	157.569321	167.830873	154.415191	117.665817	122.721675	166.391931	179.832697	164.149845	199.929627	164.953579	258.652233	177.199164	201.760107	212.731626	170.654586	167.011942	141.107294	203.051892	149.027495	188.911906
Niben261Chr06g1320007.1	Nascent polypeptide-associated complex subunit beta	210.250274	230.687909	197.355612	138.502485	126.919681	146.348635	118.094344	99.399877	122.405585	152.169719	162.019289	159.961041	182.420274	168.144223	187.973162	175.767161	190.96372	198.579146	148.686592	162.648902	164.354175	148.390285	156.748839	187.475061	197.096954	216.901684	187.865504	112.573712	136.574516	144.286594	108.973142	110.458537	121.884909	165.453573	160.073692	144.814531	220.032203	182.165043	206.645778	242.108934	237.246059	214.63337	194.484465	191.490381	211.975443	196.948592	205.995065	200.396743
Niben261Chr07g0436005.1	Elongation factor 1-alpha	76.59719	111.322316	74.428693	78.437334	70.860626	82.69255	82.092429	77.091676	61.050872	98.781667	107.42158	91.129522	105.876547	101.046525	107.876168	101.791833	100.187178	106.607382	81.998116	81.725768	72.173639	80.109776	95.765409	89.480353	79.887165	95.970249	70.212629	76.453773	72.717798	77.180819	67.112459	67.308189	65.067028	89.228824	103.129766	90.676713	118.232714	100.921992	130.777315	108.064229	114.355584	105.022307	109.058191	86.531945	88.140892	115.244113	112.246427	111.13267
Niben261Chr07g1500005.1	surfeit locus protein 2	20.559276	30.866707	18.485956	21.920536	23.591526	21.342919	20.401531	20.98989	22.136388	26.247262	29.655148	27.236252	30.967256	33.422162	33.195432	29.018564	29.058974	29.2365	21.579245	20.048506	22.200222	20.737451	24.31321	27.726351	20.647636	29.08234	21.513931	25.284197	18.547553	19.303432	17.476899	15.285729	15.710167	26.615589	26.616063	27.743745	35.597767	26.066756	31.467779	36.317057	28.201663	28.260185	29.5029	24.680635	27.559561	35.691263	37.154915	37.030684
Niben261Chr08g0338001.1	40S ribosomal protein S3a	29.368664	39.110717	26.173238	32.066353	26.577927	28.215273	28.910828	26.154083	23.638253	34.923192	39.547771	35.99105	38.217712	38.857394	39.554119	34.027122	34.975363	33.933327	30.399941	29.090785	27.910822	24.819166	33.057784	33.337292	27.227761	31.631649	21.697505	28.146805	23.594126	22.204231	19.703138	19.374734	18.311801	29.570128	36.84654	31.031675	45.651494	33.93204	42.974037	34.750022	36.479979	33.479034	36.496667	29.744553	28.190919	38.743274	38.963961	36.987145
Niben261Chr08g0467007.1	rRNA 2'-O-methyltransferase fibrillarin	49.962995	64.151994	37.088496	45.601782	35.426729	41.212276	41.60597	38.410532	30.809638	50.790852	53.089501	52.547317	55.759509	54.55716	62.679378	49.074827	44.810531	56.104452	40.87778	35.610313	33.628209	36.305286	45.486279	49.892188	38.529562	53.835854	32.270633	32.58409	33.209255	33.619581	25.839882	29.106656	26.115592	44.141507	55.585727	45.209871	65.394398	47.244183	67.011903	49.816502	55.020424	54.876966	52.699439	48.4162	43.5511	65.54295	68.9302	68.633219
