GFP22h1	GFP22h2	GFP22h3	GFP25h1	GFP25h2	GFP25h3	GFP28h1	GFP28h2	GFP28h3	GFP34h1	GFP34h2	GFP34h3	GFP37h1	GFP37h2	GFP37h3	GFP40h1	GFP40h2	GFP40h3	GFP46h1	GFP46h2	GFP46h3	GFP56h1	GFP56h2	GFP56h3	pcrtB22h1	pcrtB22h2	pcrtB22h3	pcrtB25h1	pcrtB25h2	pcrtB25h3	pcrtB28h1	pcrtB28h2	pcrtB28h3	pcrtB34h1	pcrtB34h2	pcrtB34h3	pcrtB37h1	pcrtB37h2	pcrtB37h3	pcrtB40h1	pcrtB40h2	pcrtB40h3	pcrtB46h1	pcrtB46h2	pcrtB46h3	pcrtB56h1	pcrtB56h2	pcrtB56h3
Niben261Chr05g0628008.1	5.900306	26.737448	0	35.867247	51.302852	41.55853	10.554638	13.424237	25.108532	11.460412	18.367451	16.828876	24.191773	16.175097	27.678609	23.878924	36.944657	22.545723	32.437089	37.793369	57.487784	43.975648	20.848608	31.700796	11.81133	25.901471	20.638078	142.123975	50.764064	55.222488	41.694852	31.606732	51.845279	11.049725	16.38418	2.559549	18.5336	1.640508	12.124474	29.940277	29.049531	28.556816	70.265582	37.027444	46.285414	89.508348	31.90433	94.062791
Niben261Chr06g0863004.1	29.687539	29.398783	37.55724	32.150682	22.589701	5.844947	13.386196	22.198943	30.539982	15.948691	27.405953	11.173088	4.37664	3.241491	8.428234	5.485461	2.745182	6.534751	2.958315	2.915931	7.59229	1.598493	0.895438	0.624915	25.869095	41.580399	28.594126	60.7547	13.62194	13.437761	24.171743	12.450476	39.808896	11.965861	2.688759	11.203507	7.719758	10.011195	11.750557	1.497861	2.287439	3.499767	7.220367	14.560749	19.911014	45.16636	7.407279	44.716498
Niben261Chr06g0863005.1	4.745304	5.618421	7.74974	3.505641	3.569435	1.000551	1.197689	2.733397	4.803488	1.675185	3.245595	1.154142	0.529264	0.29829	1.841657	0.455247	0.173089	1.109217	0.563698	1.338558	0.68361	0.114191	0	0.098901	3.754547	4.736196	2.517303	7.799578	2.054968	2.036144	2.479177	1.52841	4.685345	1.235865	0.31534	2.724186	1.049798	1.729442	1.874689	0.107016	0.108102	0.208293	0.658412	1.40685	2.470927	6.522344	0.140818	4.37792
Niben261Chr06g1487005.1	7.182774	30.605914	17.781772	23.980502	39.170718	26.329465	8.886338	6.113951	20.059343	2.18042	4.529083	5.284305	0.718798	1.442875	3.328566	4.376955	4.791864	9.31649	8.978342	5.424428	8.841983	2.929366	2.12736	1.790412	5.809607	24.2114	13.573787	36.433805	18.990417	23.900968	11.705383	11.847683	19.448672	2.73738	1.209934	1.640916	0.888657	1.980332	1.452878	2.923824	5.038904	3.638787	15.519708	21.864582	17.166469	10.400183	2.664364	11.868833
Niben261Chr06g1487001.1	16.726022	67.231561	31.012813	49.742876	80.568906	54.988161	19.309734	17.823071	43.940419	9.12425	16.622381	17.03735	4.158985	2.165499	6.671128	6.367259	13.236153	22.163137	17.896675	16.961678	26.478719	6.958924	5.717064	8.042783	11.054129	66.145202	31.163756	154.092413	47.758446	57.773277	44.371997	30.658493	57.824299	8.252598	5.048598	7.840986	4.571281	4.714858	4.633198	6.944772	19.879773	11.856371	44.190646	70.586374	55.004651	51.405588	10.528505	45.75275
Niben261Chr07g1142008.1	18.981949	18.432294	19.216344	13.629544	10.535358	5.73638	6.968989	9.436222	29.300306	10.534124	13.643425	14.803738	3.924176	3.410835	4.782722	4.443339	3.136423	3.900166	2.691861	4.612863	6.203696	9.863682	7.264827	4.838555	20.063837	25.91764	15.124022	23.778464	16.611136	10.986602	9.848095	8.702882	18.252948	6.990152	7.441376	6.850432	5.845556	5.455101	5.285449	2.347379	4.790415	5.439371	4.583378	18.943186	7.712087	31.723391	19.776339	35.808566
Niben261Chr08g0040004.1	20.064785	18.171365	18.100916	18.183816	12.520195	9.558942	7.006631	11.422968	11.880129	11.797115	15.021573	12.613849	11.225502	8.434961	10.492139	7.309681	11.773449	17.740457	15.766908	17.450341	16.901245	9.53831	6.983742	7.557357	20.086286	25.258738	15.773377	47.753538	8.864611	10.526521	30.256146	14.138319	38.897932	8.389071	8.541697	8.818	13.796555	11.481342	9.149254	12.081469	15.597199	13.607131	19.483425	14.015843	21.485587	24.422656	9.485744	22.353691
Niben261Chr08g0459006.1	2.090877	5.410027	2.340034	4.469301	4.301156	4.010628	2.402807	2.900174	3.191669	3.096833	4.025775	2.646847	0.530243	0.587619	1.0225	0.55075	0.729242	1.289411	1.285233	1.112407	1.932156	0.597688	0.495472	0.604608	1.335513	4.024965	3.524723	8.976945	2.811164	4.734609	3.637565	2.693048	3.99754	1.390498	1.51942	1.167489	0.47664	0.709184	0.371123	0.61434	1.231425	0.825085	2.222347	2.664915	3.264679	3.655008	1.359028	4.071004
Niben261Chr10g0163005.1	2.495624	2.019466	3.081058	2.444538	1.962254	0.339953	0.658407	0.946365	4.680498	0.134649	1.147614	0.27377	0	0	0	0.16092	0.094005	0.741556	0.137631	0.117925	0.526065	0	0.088936	0.107836	2.430053	4.014758	2.23227	16.534327	0.990855	1.020547	2.990783	0.383009	5.141503	0.155788	0	0.360867	0.725839	0.693878	0.106838	0	0.237929	0.102779	0.569115	0.962249	0.410402	5.216614	0.160648	4.288238
Niben261Chr11g1211008.1	89.101961	83.518555	137.103431	92.979724	92.587988	76.619128	71.79618	101.252178	116.528662	41.268887	55.899251	38.853618	40.670487	34.266984	44.856478	32.082698	28.727441	60.671012	46.708763	26.977806	38.917379	54.057175	32.671619	28.962855	79.670839	92.340407	99.346083	288.892078	61.033862	67.21864	90.437158	92.352464	153.750271	40.178874	33.763132	45.252217	74.191054	60.773124	51.849458	33.606137	49.244108	57.674403	145.109627	67.676099	99.124244	119.391128	80.480243	106.895974
Niben261Chr12g0682002.1	32.472846	21.23431	25.873739	18.380653	16.760269	8.298867	9.126164	14.424143	28.134684	11.882876	17.062875	13.213118	6.838465	5.095352	6.745485	4.393107	2.820725	6.738247	3.113711	4.525508	5.4376	4.382667	3.354448	2.248963	25.86997	28.537945	17.918624	31.988507	11.634072	10.835916	13.646617	10.867991	34.531007	7.302918	5.043342	11.555128	10.141218	8.90425	7.533792	2.324962	3.470079	5.568182	7.114405	9.161728	7.056981	21.700036	11.211074	19.672548
Niben261Chr12g0736001.1	14.716562	40.903844	24.277812	34.694517	44.997839	29.176778	14.361996	12.648373	29.170621	8.828269	11.913323	13.450138	7.308941	5.719821	7.507044	9.987952	17.840727	17.082595	14.766614	21.745083	26.954703	6.923808	6.514533	8.653709	11.294303	44.212157	20.171208	103.516847	34.747568	35.426074	27.858429	28.156992	42.97319	7.378364	6.731938	11.538784	9.34019	4.642263	5.867438	9.675133	21.071084	13.291202	27.288106	54.211184	36.943874	32.173268	14.197083	33.855428
Niben261Chr12g1232003.1	4.697817	8.195686	6.305201	7.039928	6.755859	6.783697	4.933657	5.667796	8.29832	4.590427	4.440913	4.270166	3.829333	3.207569	3.095491	3.26748	4.510932	5.411157	4.158718	4.122044	5.047226	3.025208	3.010461	3.077175	4.570919	6.22967	6.464871	10.389773	5.289766	5.00277	5.723048	5.535055	6.015955	4.11018	3.571593	3.220736	2.765265	2.214609	2.928538	4.590577	4.497595	4.775464	6.654982	6.313701	7.550259	5.428043	3.560711	4.706649
