Name	pcrtBAA_vs_GFPAA_filtered
Niben261Chr10g0959003.1	0,682949378587333
Niben261Chr15g1142001.1	-2,56836334420371
Niben261Chr17g0244001.1	-0,858906538469561
Niben261Chr13g0055005.1	-1,09079451511678
Niben261Chr11g0217014.1	-1,39281366072543
Niben261Chr03g0456003.1	-1,44422012183326
Niben261Chr02g1377001.1	-0,720278470003357
Niben261Chr11g1362020.1	-1,02984848129367
Niben261Chr02g0650001.1	-1,22143959672927
Niben261Chr05g0687007.1	-2,45042344525487
Niben261Chr10g1076006.1	-2,54011045133415
Niben261Chr08g0740007.1	0,871290260284244
Niben261Chr08g0373003.1	0,702703699097961
Niben261Chr08g0095008.1	-1,48253924470618
Niben261Chr16g0271007.1	-0,837932155170668
Niben261Chr08g1105004.1	1,11160077167225
Niben261Chr09g1329004.1	-1,47148400730323
Niben261Chr01g0166018.1	-2,21558414880467
Niben261Chr14g1478019.1	-1,50620368193706
Niben261Chr08g0339007.1	-2,32708530141864
Niben261Chr12g1249005.1	-1,62423046746659
Niben261Chr10g0261008.1	-0,954267264576728
Niben261Chr18g0729003.1	-1,38306094539398
Niben261Chr15g1120009.1	-0,749128753105013
Niben261Chr02g0976002.1	1,09774586449517
Niben261Chr10g1338015.1	-1,50018530519769
Niben261Chr13g0061012.1	-0,993606068055438
Niben261Chr15g1415003.1	-1,42291977117243
Niben261Chr12g1326011.1	0,662095903431162
Niben261Chr17g1503004.1	-1,90843805795685
Niben261Chr10g1274004.1	1,19169451354712
Niben261Chr18g1248005.1	0,892855250606863
Niben261Chr07g1524016.1	-0,609888818647667
Niben261Chr06g0494004.1	-0,898372297817768
Niben261Chr16g0761009.1	-0,626543261575205
Niben261Chr04g1205003.1	-2,00097529916568
Niben261Chr03g0298006.1	0,976946537987497
Niben261Chr03g1099002.1	0,809227678240546
Niben261Chr02g0736004.1	-0,654864915791891
Niben261Chr14g1513049.1	0,847685788841179
Niben261Chr05g0687008.1	-2,02340855699595
Niben261Chr07g0724002.1	-0,681802473260033
Niben261Chr15g1214002.1	-3,31323313532702
Niben261Chr09g0497001.1	-1,04471110533434
Niben261Chr07g1406001.1	-1,12668764290055
Niben261Chr05g0349008.1	-0,761029246950755
Niben261Chr08g0080009.1	-0,886824838352046
Niben261Chr17g0698004.1	-0,961329293633405
Niben261Chr12g0774003.1	-1,84574947302075
Niben261Chr18g0786025.1	-2,87872821150962
Niben261Chr07g1438008.1	-1,17837186212947
Niben261Chr04g0163001.1	-1,71386721708516
Niben261Chr08g0310020.1	-1,59499304441567
Niben261Chr12g0609008.1	0,807959555465409
Niben261Chr12g0049013.1	-0,668313997209573
Niben261Chr06g0450009.1	-0,628439456795839
Niben261Chr11g0991013.1	-0,688284787757826
Niben261Chr15g1380006.1	-0,87538609746538
Niben261Chr08g0385005.1	-1,42067303392284
Niben261Chr15g0685004.1	-1,25959741141556
Niben261Chr19g0034003.1	1,59169092380155
Niben261Chr08g0219013.1	-1,44775823900939
Niben261Chr15g1423025.1	-0,935666834249864
Niben261Chr09g0086012.1	-0,758431356146114
Niben261Chr04g0777005.1	-1,19626328817071
Niben261Chr01g0036001.1	-1,20818059330249
Niben261Chr19g1363004.1	1,32413733156344
Niben261Chr03g0248013.1	-0,82876524059026
Niben261Chr07g1227002.1	0,752597105449273
Niben261Chr07g0306003.1	0,780615811408849
Niben261Chr08g0120029.1	-1,52950619177278
Niben261Scf01608g0000028.1	-1,81129168131854
Niben261Chr14g0917001.1	-1,25772689268694
Niben261Chr04g0081016.1	-1,17023020414827
Niben261Chr08g0428004.1	-1,02069398932601
Niben261Chr19g0913005.1	-0,990513341277776
Niben261Chr12g1158002.1	-1,50612505730669
Niben261Chr01g0012011.1	0,875653840976809
Niben261Chr07g1128012.1	-2,15514814903276
Niben261Chr14g0663002.1	-1,18816179418056
Niben261Chr01g0670002.1	-1,29965699413316
Niben261Chr08g0158002.1	-0,966961524871355
Niben261Chr17g0161003.1	-3,48071499704986
Niben261Chr16g1304010.1	1,02545216380116
Niben261Chr08g0446012.1	-0,675521607642001
Niben261Chr17g1538007.1	-0,80411806424309
Niben261Chr15g0563001.1	-1,8917326241914
Niben261Chr15g0415007.1	-1,97810750079878
Niben261Chr06g0700018.1	0,624006795568279
Niben261Chr19g0724007.1	-0,710980476837698
Niben261Chr13g0855011.1	-1,15491242083192
Niben261Chr19g0457006.1	1,12160058508071
Niben261Chr18g0858001.1	0,818696482247958
Niben261Chr11g0936015.1	-1,52785787404828
Niben261Chr19g1336006.1	-2,11451151650009
Niben261Chr17g1170007.1	-1,06574007733297
Niben261Chr11g0932006.1	-1,67230909841106
Niben261Chr17g0436002.1	3,33852510696528
Niben261Chr01g0854003.1	-0,948841875858162
Niben261Chr07g1473001.1	-0,863604119835486
Niben261Chr02g1094002.1	-2,14971983661152
Niben261Chr14g0257017.1	-1,33341575442952
Niben261Chr02g0729003.1	-1,73067509214507
Niben261Chr05g1091011.1	-1,02229807184874
Niben261Chr04g0069004.1	-0,603076706940928
Niben261Chr15g0032003.1	1,0978920577524
Niben261Chr01g1483009.1	-2,4117724681179
Niben261Chr16g0901011.1	-1,27705844808963
Niben261Chr11g1358011.1	-1,02585027933143
Niben261Chr06g0629005.1	-0,939605021730698
Niben261Chr02g0426008.1	0,751864786523936
Niben261Chr17g1164003.1	-1,62129758965898
Niben261Chr01g0733005.1	-1,50000710296063
Niben261Chr10g0088032.1	-0,876009924015106
Niben261Chr19g0470020.1	0,734749672277839
Niben261Chr05g0649027.1	-0,920272755753081
Niben261Chr01g0218001.1	-1,57515797633662
Niben261Chr06g1109009.1	-1,12871574539068
Niben261Chr19g0928011.1	-0,646467067349302
Niben261Chr06g1154012.1	-1,53159070044504
Niben261Chr13g0626015.1	-0,730951969517657
Niben261Chr09g0139011.1	-0,754051437212846
Niben261Chr02g0065003.1	1,39700474202482
Niben261Chr01g0507002.1	-1,59608487411692
Niben261Chr10g0286014.1	-1,92710563524408
Niben261Chr01g0411002.1	-1,16926869382141
Niben261Chr03g0611013.1	-0,785979768235292
Niben261Chr01g0125011.1	-0,702556249516917
Niben261Chr18g0501005.1	-2,3810287986206
Niben261Chr14g0908006.1	-1,33403112586217
Niben261Chr15g1515022.1	0,84873719237491
Niben261Chr19g0386008.1	-1,58472259387785
