Name	pcrtBBB_vs_GFPBB_filtered
Niben261Chr12g0605007.1	-3,390104690762
Niben261Chr04g1336004.1	7,95407533969601
Niben261Chr14g0436005.1	-5,49493304288403
Niben261Chr14g0807008.1	-1,71422008721945
Niben261Chr07g1355001.1	-1,30353768514889
Niben261Chr04g1859023.1	3,04296931838779
Niben261Chr08g0050011.1	2,45019758137622
Niben261Chr14g0976002.1	-1,21595372307061
Niben261Chr15g1441023.1	2,82174569014389
Niben261Chr03g1081002.1	-3,36301627502042
Niben261Chr10g0858018.1	-1,08923499172416
Niben261Chr16g0434017.1	-3,51276488341498
Niben261Chr09g1038012.1	5,96718757109011
Niben261Chr02g0552001.1	1,60663026130681
Niben261Chr15g0265007.1	-3,04257861657333
Niben261Chr09g1220002.1	-2,59588387820531
Niben261Chr19g0983010.1	4,24584799837712
