Name	pcrtB96h_vs_GFP96h_filtered
Niben261Chr02g0338009.1	1,33726316108861
Niben261Chr16g0795013.1	1,1457095355426
Niben261Chr02g1087008.1	-1,17214606347545
Niben261Chr16g0985009.1	0,987419543728411
Niben261Chr10g0256016.1	1,07359981705531
Niben261Chr17g1412006.1	1,06902454269468
Niben261Chr14g1216005.1	-1,07802912548543
Niben261Chr03g0868010.1	1,54203137792283
Niben261Chr01g0119001.1	1,20552488726386
Niben261Chr02g0002006.1	1,15756778973691
Niben261Chr02g0871002.1	1,1014987479351
Niben261Chr03g0122019.1	0,989797978839871
Niben261Chr17g0232008.1	1,24349689857379
Niben261Chr06g1115002.1	0,920589986746438
Niben261Chr06g1096003.1	1,29376264593336
Niben261Chr03g1030045.1	1,02637708500056
Niben261Chr06g1468003.1	1,31663057939214
Niben261Chr19g0223003.1	1,58959249408354
Niben261Chr10g0907002.1	1,20206840815754
Niben261Chr05g0593001.1	1,0174867867074
Niben261Chr19g0603003.1	1,23934798489833
Niben261Chr06g0629005.1	0,963216149739521
Niben261Chr16g0342010.1	3,14990423560397
Niben261Chr17g0027004.1	1,43837875212246
Niben261Chr06g0601003.1	0,878974804371978
Niben261Chr06g1128013.1	0,973673185184732
Niben261Chr08g0244010.1	-1,55307141782925
Niben261Chr02g1243003.1	1,18805832000766
Niben261Chr08g0115045.1	-1,0783586132191
Niben261Chr10g0071001.1	-1,18360613006556
Niben261Chr03g0870012.1	1,43710511955072
Niben261Chr03g0772011.1	1,12514500198978
Niben261Chr16g0539004.1	1,17353446403485
Niben261Chr03g0685005.1	0,989829111011364
Niben261Chr16g0480008.1	1,47590879379922
Niben261Chr07g1367012.1	1,14366425383972
Niben261Chr10g0808003.1	0,853810200081637
Niben261Chr14g0789015.1	1,36283127170755
Niben261Chr08g0009004.1	-0,903805217235427
Niben261Chr12g0396007.1	1,39646422703066
Niben261Chr18g0005016.1	1,39787150795976
Niben261Chr18g1260001.1	1,1442499220549
Niben261Chr12g0027004.1	-0,878719603603568
Niben261Chr18g0349002.1	1,1088528312322
Niben261Chr03g1518007.1	0,987421582066077
Niben261Chr01g0826009.1	2,32108473036416
Niben261Chr15g1218004.1	1,30133171789704
Niben261Chr01g0890008.1	1,24664683787775
Niben261Chr18g0421010.1	0,921502058421604
Niben261Chr09g1281028.1	1,05275415320709
Niben261Chr07g1249041.1	-0,982102248315666
Niben261Chr01g0143005.1	1,19986062925721
Niben261Chr03g1600001.1	-1,6644433929473
Niben261Chr08g1312002.1	-1,74132056909384
Niben261Chr11g0090001.1	1,37616417462339
Niben261Chr03g0774008.1	1,24108710775869
Niben261Chr15g0206014.1	-0,977153248290478
Niben261Chr01g1148001.1	-1,21520744781227
Niben261Chr06g1477004.1	-1,31241539527519
Niben261Chr01g0034003.1	1,2630847376685
Niben261Chr05g0922004.1	-0,823298245453479
Niben261Chr05g0931005.1	0,937557014631845
Niben261Chr04g0146014.1	0,917427995840235
Niben261Chr02g0470002.1	1,02449285717785
Niben261Chr15g0455002.1	-2,63531779727463
Niben261Chr10g0943002.1	1,00886793962461
Niben261Chr12g0813009.1	1,10390794811082
Niben261Chr08g0519011.1	1,31671666800559
Niben261Chr16g0118002.1	0,955779482739688
Niben261Chr07g1393011.1	1,00316834109777
Niben261Chr18g0519001.1	1,1033127954811
Niben261Chr11g0974011.1	-0,977281191285168
Niben261Chr05g1333012.1	1,41202788943275
Niben261Chr16g0829001.1	1,6241645106482
Niben261Chr03g1016002.1	2,45894923419079
Niben261Chr16g1120003.1	1,46298156172673
Niben261Chr09g0946007.1	0,902331768675696
Niben261Chr03g0350001.1	0,967944762824833
Niben261Chr04g1887016.1	1,03118623675434
Niben261Chr12g1191013.1	2,39314257850526
Niben261Chr16g0529004.1	0,912700825175758
Niben261Chr02g0879018.1	0,943636601691605
Niben261Chr06g0302003.1	-0,856852437662266
Niben261Chr07g1317001.1	0,795977342983172
Niben261Chr04g1864001.1	1,15307970874725
Niben261Chr03g0735009.1	1,25021217454072
Niben261Chr17g0012008.1	0,832617519456842
Niben261Chr01g0030008.1	1,22965460896177
Niben261Chr19g1134022.1	0,84304951399156
Niben261Chr10g0939005.1	2,24949610148154
Niben261Chr10g0105018.1	0,861191791356896
Niben261Chr01g0426002.1	2,11855061849563
Niben261Chr06g0198007.1	1,14732697119637
Niben261Chr15g1380006.1	1,22593231749967
Niben261Chr19g0672005.1	1,30119086791305
Niben261Chr06g0698001.1	0,968332335367697
Niben261Chr10g1185008.1	1,25328320277641
Niben261Chr01g1100009.1	-1,09616358568389
Niben261Chr06g1450004.1	0,994532333866499
Niben261Chr07g1058010.1	1,84742849196129
Niben261Chr02g0771002.1	0,869486185974997
Niben261Chr10g0993007.1	-1,26355956718247
Niben261Chr03g0255012.1	1,19570140205583
Niben261Chr03g0561003.1	1,23410221521122
Niben261Chr19g0199011.1	1,16029900210526
Niben261Chr02g0902006.1	1,05820167011724
Niben261Chr02g0519004.1	1,18728547736202
