Name	pcrtBDD_vs_GFPDD_filtered
Niben261Chr15g1380016.1	-1,44659831951358
Niben261Chr11g1339003.1	-1,21482325170542
Niben261Chr10g1030002.1	-2,54643942745293
Niben261Chr17g0963022.1	1,47194653127265
Niben261Chr08g0017019.1	-4,56538355175209
Niben261Chr09g0996004.1	-7,95298958763521
Niben261Chr16g0832003.1	1,23419721301427
Niben261Chr17g0704004.1	-7,88063192077073
Niben261Chr04g0013010.1	1,24411159050085
Niben261Chr13g0654019.1	1,407090531502
Niben261Chr02g0093002.1	2,36298888444467
Niben261Chr02g0455001.1	-7,83269236768187
Niben261Chr14g0553002.1	-2,49292359705317
Niben261Chr04g0140005.1	-1,62750825088448
Niben261Chr11g1426033.1	-1,35783931205692
Niben261Chr12g1569020.1	-3,236125510005
Niben261Chr17g0161003.1	-3,71091088226095
Niben261Chr15g1380002.1	-1,43788751440027
Niben261Chr05g0343004.1	1,4969935595123
Niben261Chr10g0377012.1	1,24891814215564
Niben261Chr08g0492005.1	1,35208986339621
Niben261Chr19g0919004.1	-1,72079882659075
Niben261Chr06g0688010.1	-7,64041883215608
Niben261Chr09g1305030.1	-7,95466175553623
Niben261Chr02g0744003.1	-1,44898931216418
Niben261Chr06g0733013.1	-7,51449585754073
Niben261Chr13g1342002.1	1,03908435879721
Niben261Chr14g1384008.1	0,90796161968783
Niben261Chr07g0378026.1	-8,53654835370226
Niben261Chr02g0948003.1	-1,34103645098879
Niben261Chr09g1006014.1	-5,44115169533819
Niben261Chr16g1270001.1	-6,44556094427427
Niben261Chr09g1038012.1	1,96181209043059
Niben261Chr01g1061005.1	1,20211385986467
Niben261Chr08g0063009.1	-0,984702424307561
Niben261Chr17g0022005.1	-4,0627692997071
Niben261Chr11g1331003.1	-1,22568432123033
Niben261Chr05g0671008.1	-1,15835938443695
Niben261Chr18g1448010.1	-7,06232280993569
Niben261Chr06g0052009.1	-3,00904022536788
Niben261Chr16g0390020.1	1,3898587024287
Niben261Chr15g0447006.1	-2,79336527233467
Niben261Chr16g0255013.1	1,47273486068594
Niben261Chr12g1569021.1	-3,65472095094678
Niben261Chr18g1377001.1	-4,1841607084701
Niben261Chr06g0562007.1	1,45166845646708
Niben261Chr03g0209001.1	-0,970748547017937
Niben261Chr17g1466003.1	0,88842062236767
Niben261Chr13g0959002.1	-1,68359111025306
Niben261Chr09g0308012.1	-7,54932718066721
Niben261Chr04g0239011.1	-4,0018758415013
Niben261Chr01g0689001.1	-2,52894071319543
Niben261Chr07g1296012.1	3,23788992104956
Niben261Chr03g1204001.1	-1,8421489037817
Niben261Chr17g0030015.1	1,52776627822597
Niben261Chr10g0197006.1	-4,46080697486375
Niben261Chr15g1045008.1	-1,32614751030596
Niben261Chr04g0330002.1	-2,20969082366918
Niben261Chr06g0846017.1	-0,938568071474595
Niben261Chr10g0377002.1	1,51405192252439
Niben261Chr01g0567003.1	-1,25545155916085
Niben261Chr02g0807015.1	-1,08368163130441
Niben261Chr01g0731001.1	0,992485000503032
Niben261Chr01g0234004.1	-0,924961323601729
Niben261Chr03g0307006.1	2,09990105301642
Niben261Chr12g0020003.1	-7,68551652990378
Niben261Chr02g0950007.1	-0,784216261057747
Niben261Chr03g0962008.1	-1,96183968954438
Niben261Chr11g0888007.1	-1,80225699932883
Niben261Chr15g1012016.1	0,668190704371797
Niben261Chr19g0386008.1	-3,43275898178389
Niben261Chr19g0724007.1	-0,749258312770447
Niben261Chr06g0805006.1	-6,59040504110535
Niben261Chr12g0026001.1	1,91360698974603
Niben261Chr06g0436010.1	1,27152954681863
Niben261Chr04g1632003.1	-0,770862066891145
Niben261Chr07g0366006.1	-7,40277450397513
Niben261Chr13g0063032.1	-2,33474331261969
Niben261Chr08g0634012.1	-7,70636086006273
Niben261Chr11g0701006.1	-1,24772187829713
Niben261Chr02g1175005.1	2,37072679772538
Niben261Chr07g0707002.1	-0,745609842201688
Niben261Chr15g1323009.1	0,980008575467261
Niben261Chr14g0597016.1	-0,769421676714973
Niben261Chr08g0796001.1	-2,75659760986977
Niben261Chr05g0055004.1	1,25708493463779
Niben261Chr07g1058010.1	-2,70771122095002
Niben261Chr12g0279003.1	1,61501299611429
Niben261Chr17g1231003.1	1,23238406445578
Niben261Chr09g1046007.1	1,69334011499277
Niben261Chr09g0140003.1	-1,94739796349483
Niben261Scf13210g0000001.1	-1,14311547459976
Niben261Chr08g0978013.1	0,845694315502513
Niben261Chr14g1478007.1	-0,656570554892262
Niben261Chr03g0767009.1	1,17819531039077
Niben261Chr17g1291020.1	-3,25857846215216
Niben261Chr19g1352007.1	-0,781590507321713
Niben261Chr15g1462001.1	1,10109603226282
Niben261Chr14g0635005.1	-0,878086247253857
Niben261Chr16g0588007.1	-4,52559851477998
Niben261Chr04g0210001.1	-1,61261468120543
Niben261Chr03g1880003.1	-0,803474958042324
Niben261Chr01g1166001.1	-2,0707703900823
Niben261Chr03g0354012.1	-1,04711038719469
Niben261Scf01681g0000003.1	-1,41038940360238
Niben261Chr12g0492008.1	2,1494446341373
Niben261Chr04g0245001.1	-0,893237769009984
Niben261Chr03g0035008.1	-6,99833239884609
Niben261Chr08g0959009.1	-2,0167641025135
Niben261Chr10g1008010.1	-1,64489820381095
Niben261Chr19g0291004.1	-2,0044232710198
Niben261Chr09g0524003.1	-6,6883509082231
Niben261Chr11g1326020.1	-2,92814005731693
Niben261Chr05g1135010.1	-1,93662245513933
Niben261Chr02g0315004.1	1,64824614720493
Niben261Chr01g1100009.1	1,17498820376794
Niben261Chr03g1329003.1	-2,04600415353581
Niben261Chr08g0080009.1	-0,896743813497702
Niben261Chr14g0807008.1	-1,7772542705487
Niben261Chr07g0331012.1	-0,837505911695294
Niben261Chr03g1444004.1	0,686543318707066
Niben261Chr10g0166002.1	-0,603119764013789
Niben261Chr03g1183011.1	-3,59426423941655
Niben261Chr04g1726011.1	-0,987527353040387
Niben261Chr10g0615005.1	-0,757007584781255
Niben261Chr05g0100006.1	0,886510476720947
Niben261Chr17g0244001.1	-0,650935474994145
Niben261Chr17g0634005.1	-1,75155396512034
Niben261Chr08g0458014.1	-6,88015490079655
Niben261Chr04g1336004.1	5,20100350208365
Niben261Chr13g0287001.1	-2,22110287226998
Niben261Chr04g1643020.1	1,08854625978107
Niben261Chr16g0350013.1	1,23910748924321
Niben261Chr01g1827008.1	-2,66613412559677
Niben261Chr05g1113011.1	-1,34730653043167
Niben261Chr12g0215018.1	-0,943282260947489
Niben261Chr10g1096040.1	-1,00753766260723
Niben261Chr13g1143001.1	-3,13885752893057
Niben261Chr02g1266002.1	-0,94865667264571
Niben261Chr06g0899007.1	-0,994484596571046
Niben261Chr14g1315009.1	-5,92117341359313
Niben261Chr04g0623002.1	1,45553459673667
Niben261Chr07g0614007.1	-1,39147176437956
Niben261Chr15g1201012.1	-6,79069687390036
Niben261Chr04g1726010.1	-1,16118033332694
Niben261Chr12g1562006.1	1,06723245785015
Niben261Chr02g0230006.1	6,50493703490969
Niben261Chr06g0433008.1	1,79652600828946
Niben261Chr03g0172007.1	-5,27459392025705
Niben261Chr13g0114019.1	-1,65378243240693
